,EqualWeight,ClassicalMVO,RiskParity,RF,XGBoost,LSTM
2019-10-10,0.008669151006680557,0.0011339452514096894,0.008669151006680559,0.01758361148871876,0.016879411747930156,0.01173299357629116
2019-10-11,0.022918810742244847,0.017220656965516678,0.022918810742244857,0.039389678578463275,0.04042588889509994,0.018243680846539045
2019-10-14,-0.0028197991689551867,0.004066053640648572,-0.0028197991689551867,0.00010452681276828198,0.001893402917091541,0.00614318019965549
2019-10-15,0.00895342316886293,0.013979346339535202,0.008953423168862933,0.021986740239683812,0.013428104225762228,0.005392965726144064
2019-10-16,-0.0026707020801271446,-0.002720403056389737,-0.002670702080127145,-0.001821585032788423,0.0008339029800682575,-0.004060283062886081
2019-10-17,0.007701644984286237,0.021149227514859117,0.007701644984286239,0.003815610851493579,-0.0011974740468894084,0.005254100849090097
2019-10-18,0.0023084659711953047,0.0030498955711496345,0.0023084659711953043,0.002422270568338419,0.002827259956909731,-0.0028735074898208588
2019-10-21,0.006911271065915679,0.0013513035738611711,0.006911271065915681,0.002454966550089665,0.00032157433584244455,0.006087330872062127
2019-10-22,0.005095528922503325,-0.007203671641034118,0.005095528922503325,-0.0020374597133502106,-0.0005537594084362088,0.013670930869245727
2019-10-23,0.0002114367870564724,0.005258177221275994,0.00021143678705647242,-0.002081535302469777,-0.006016453126006008,0.005214225953990529
2019-10-24,0.001937675248978397,0.032378906922387554,0.0019376752489783976,0.024594831082686033,0.021432295343122673,0.01870727512551729
2019-10-25,0.0010193103358821416,0.005352724019191163,0.0010193103358821416,0.014273506580325756,0.0075721453911200215,-0.003402892662038045
2019-10-28,0.004222101466461821,0.014222598776766618,0.004222101466461823,0.01130343505217108,0.012284172593266371,0.008143268028269906
2019-10-29,0.008100845316795627,0.018840048832716037,0.00810084531679563,0.00901230403677312,-0.004993915311691459,0.031112958026954556
2019-10-30,-0.0015281909806887897,-0.0012518057888341822,-0.0015281909806887908,0.0054339377679726315,0.004090321821934546,-0.013541476393554075
2019-10-31,-0.0025507509602662416,0.004258867199745733,-0.0025507509602662425,-0.004674377042814861,-0.003524233997983229,0.00864041415937864
2019-11-01,0.015972857040872954,-0.0003977568929101399,0.01597285704087296,0.015832041273084935,0.024857378845232758,0.0023653243944831413
2019-11-04,0.014167131214059592,0.003255660294438223,0.014167131214059596,0.030119610872469237,0.023315098655158236,0.0053226517158785885
2019-11-05,0.0035318091129970222,-0.014938514826479383,0.003531809112997022,0.010955065716319391,0.013803554922656433,-0.007340906546338004
2019-11-06,-0.0022722052104281634,-0.000796754194650307,-0.0022722052104281634,-0.007776901769348774,-0.007017898068573925,0.0031932757309513816
2019-11-07,0.003678561705042693,0.00021947732200537724,0.0036785617050426947,0.002869735827291058,0.004999807807783315,0.014201046928780848
